iter	Passed	Remaining
715	353110	140060
716	353579	139557
717	354064	139061
718	354531	138558
719	355042	138072
720	355510	137569
721	355949	137055
722	356397	136545
723	356866	136042
724	357479	135595
725	357978	135104
726	358460	134607
727	359002	134132
728	359525	133650
729	360002	133151
730	360482	132653
731	360961	132155
732	361435	131655
733	361899	131151
734	362322	130633
735	362776	130126
736	363314	129649
737	363810	129157
738	364287	128659
739	364754	128156
740	365222	127655
741	365705	127159
742	366137	126645
743	366613	126146
744	367090	125648
745	367567	125150
746	368052	124655
747	368532	124158
748	369021	123664
749	369513	123171
750	369959	122663
751	370455	122171
752	370937	121675
753	371395	121171
754	371830	120660
755	372235	120139
756	372774	119662
757	373342	119193
758	373855	118707
759	374266	118189
760	374703	117679
761	375341	117232
762	375901	116760
763	376442	116283
764	376953	115796
765	377461	115308
766	377923	114805
767	378472	114330
768	378979	113841
769	379497	113356
770	379980	112860
771	380450	112361
772	380925	111863
773	381376	111358
774	381887	110870
775	382394	110381
776	382872	109884
777	383359	109390
778	383838	108893
779	384297	108391
780	384781	107896
781	385277	107404
782	385702	106893
783	386160	106391
784	386631	105892
785	387083	105389
786	387584	104899
787	388050	104399
788	388515	103899
789	389020	103410
790	389470	102906
791	389924	102404
792	390382	101903
793	390831	101399
794	391238	100885
795	391743	100396
796	392225	99901
797	392727	99412
798	393187	98911
799	393682	98420
800	394160	97924
801	394680	97439
802	395179	96949
803	395650	96452
804	396075	95943
805	396520	95440
806	396959	94935
807	397414	94435
808	397848	93929
809	398309	93430
810	398785	92935
811	399276	92443
812	399771	91952
813	400245	91456
814	400730	90963
815	401215	90470
816	401683	89973
817	402156	89477
818	402640	88984
819	403135	88493
820	403637	88003
821	404121	87510
822	404609	87018
823	405038	86512
824	405522	86019
825	406061	85538
826	406582	85053
827	407057	84557
828	407610	84078
829	408154	83597
830	408677	83112
831	409198	82626
832	409719	82140
833	410217	81649
834	410979	81211
835	412252	80872
836	413559	80537
837	414882	80204
838	416188	79864
839	417357	79496
840	418756	79170
841	420009	78814
842	421231	78449
843	422311	78057
844	423520	77687
845	424634	77297
846	425391	76841
847	425843	76330
848	426305	75821
849	426821	75321
850	427282	74812
851	427771	74307
852	428279	73806
853	428735	73296
854	429229	72793
855	429803	72303
856	430361	71810
857	430889	71312
858	431396	70811
859	431919	70312
860	432393	69805
861	432828	69292
862	433291	68784
863	433750	68275
864	434216	67767
865	434674	67259
866	435118	66748
867	435556	66236
868	436009	65727
869	436478	65220
870	436868	64702
871	437317	64193
872	437773	63685
873	438231	63177
874	438679	62668
875	439154	62163
876	439734	61673
877	440175	61163
878	440614	60653
879	441105	60150
880	441476	59631
881	441927	59124
882	442397	58618
883	442826	58108
884	443255	57598
885	443727	57093
886	444176	56586
887	444565	56071
888	444967	55558
889	445393	55048
890	445864	54544
891	446320	54038
892	446777	53533
893	447173	53020
894	447605	52512
895	448047	52005
896	448477	51497
897	448869	50985
898	449301	50477
899	449729	49969
900	450175	49464
901	450682	48965
902	451125	48459
903	451551	47952
904	451981	47445
905	452359	46933
906	452774	46425
907	453240	45923
908	453691	45419
909	454145	44915
910	454645	44416
911	455091	43912
912	455529	43407
913	455975	42903
914	456425	42400
915	456876	41896
916	457285	41390
